"sequence_id","province","host"
"GFS_2019_00019","EC","Eragrostis curvula"
"GFS_2019_00035","EC","Eragrostis curvula"
"GFS_2019_00039","EC","Eragrostis curvula"
"GFS_2019_00041","EC","Eragrostis curvula"
"GFS_2019_00069","EC","Eragrostis curvula"
"GFS_2019_00079","EC","Eragrostis curvula"
"GFS_2020_00015","EC","Eragrostis curvula"
"GFS_2020_0003","EC","Eragrostis curvula"
"GFS_2020_00055","EC","Eragrostis curvula"
"GFS_2020_00087","EC","Eragrostis curvula"
"GFS_2020_00091","EC","Eragrostis curvula"
"GFS_2020_00102","EC","Eragrostis curvula"
"GFS_2020_00130","EC","Eragrostis curvula"
"GFS_2020_00155","EC","Eragrostis curvula"
"GFS_2020_00184","EC","Eragrostis curvula"
"GFS_2020_00233","EC","Eragrostis curvula"
"GFS_2020_00492","EC","Eragrostis curvula"
"GFS_2020_00554","EC","Eragrostis curvula"
"GFS_2020_00614","EC","Eragrostis curvula"
"GFS_2020_00680","EC","Eragrostis curvula"
"GFS_2021_00354","EC","Eragrostis curvula"
"KCP_2020_00012","FS","Eragrostis curvula"
"KCP_2020_00019","FS","Eragrostis curvula"
"KCP_2020_00032","FS","Eragrostis curvula"
"KCP_2020_00036","FS","Eragrostis curvula"
"KCP_2020_00044","FS","Eragrostis curvula"
"KCP_2020_00045","FS","Eragrostis curvula"
"KCP_2020_00048","FS","Eragrostis curvula"
"KCP_2020_00052","FS","Eragrostis curvula"
"KCP_2020_00055","FS","Eragrostis curvula"
"KCP_2020_00061","FS","Eragrostis curvula"
"KCP_2020_00062","FS","Eragrostis curvula"
"KCP_2020_00238","FS","Eragrostis curvula"
"LMY_2021_00117","MP","Eragrostis curvula"
"LMY_2021_00197","NC","Eragrostis curvula"
"LMY_2021_00220","NC","Eragrostis curvula"
"LMY_2021_00308","MP","Eragrostis curvula"
