GMYC_spec,sample_name,ids,lat,long,province
1,GFS_2019_00019,Tetramesa sp. 4,,,
1,GFS_2020_00614,Tetramesa sp. 4,,,
1,GFS_2019_00079,Tetramesa sp. 4,,,
1,GFS_2021_00354,Tetramesa sp. 4,,,
1,GFS_2020_00667,Tetramesa sp. 4,,,
1,GFS_2021_00805,Tetramesa sp. 8,,,
1,GFS_2020_00055,Tetramesa sp. 4,,,
1,KCP_2020_00092,Tetramesa sp. 17,,,
1,GFS_2020_00492,Tetramesa sp. 4,,,
1,KCP_2020_00061,Tetramesa sp. 4,,,
1,KCP_2020_00019,Tetramesa sp. 4,,,
1,KCP_2020_00052,Tetramesa sp. 4,,,
1,GFS_2021_00846,Tetramesa sp. 10,,,
1,KCP_2020_00055,Tetramesa sp. 4,,,
1,GFS_2021_00902,Tetramesa sp. 10,,,
2,GFS_2020_00055,Tetramesa sp. 4,,,
2,KCP_2020_00092,Tetramesa sp. 17,,,
3,GFS_2020_00492,Tetramesa sp. 4,,,
3,KCP_2020_00061,Tetramesa sp. 4,,,
3,KCP_2020_00019,Tetramesa sp. 4,,,
3,KCP_2020_00052,Tetramesa sp. 4,,,
3,GFS_2021_00846,Tetramesa sp. 10,,,
3,KCP_2020_00055,Tetramesa sp. 4,,,
3,GFS_2021_00902,Tetramesa sp. 10,,,
4,GFS_2019_00035,Tetramesa sp. 4,,,
4,GFS_2019_00041,Tetramesa sp. 4,,,
4,GFS_2021_00329,Tetramesa sp. 1,,,
4,GFS_2020_00130,Tetramesa sp. 4,,,
4,KCP_2020_00012,Tetramesa sp. 4,,,
4,KCP_2020_00032,Tetramesa sp. 4,,,
4,GFS_2020_00155,Tetramesa sp. 4,,,
4,GFS_2021_00883,Tetramesa sp. 10,,,
4,GFS_2020_0003,Tetramesa sp. 4,,,
4,GFS_2020_00184,Tetramesa sp. 4,,,
4,GFS_2020_00680,Tetramesa sp. 4,,,
4,GFS_2021_00745,Tetramesa sp. 10,,,
4,GFS_2021_00918,Tetramesa sp. 10,,,
4,GFS_2021_00773,Tetramesa sp. 10,,,
4,GFS_2021_00730,Tetramesa sp. 10,,,
4,GFS_2020_00091,Tetramesa sp. 4,,,
4,GFS_2020_00233,Tetramesa sp. 4,,,
4,KCP_2020_00048,Tetramesa sp. 4,,,
4,GFS_2021_00887,Tetramesa sp. 13,,,
4,GFS_2021_00901,Tetramesa sp. 12,,,
5,GFS_2019_00069,Tetramesa sp. 4,,,
5,GFS_2020_00102,Tetramesa sp. 4,,,
5,KCP_2020_00045,Tetramesa sp. 4,,,
6,GFS_2019_00039,Tetramesa sp. 4,,,
6,GFS_PHI_1196F,Tetramesa sp. 10,,,
6,GFS_PHI_1416F,Tetramesa sp. 26,,,
6,KCP_2020_00238,Tetramesa sp. 4,,,
6,KCP_2020_00239,Tetramesa sp. 24,,,
6,GFS_2020_00554,Tetramesa sp. 4,,,
6,GFS_2021_00810,Tetramesa sp. 10,,,
6,KCP_2020_00177,Tetramesa sp. 23,,,
6,GFS_2021_00762,Tetramesa sp. 8,,,
6,LMY_2022_00139,Tetramesa sp. 1,,,
6,GFS_PHI_1196M,Tetramesa sp. 11,,,
6,KCP_2020_00044,Tetramesa sp. 4,,,
6,KCP_2020_00036,Tetramesa sp. 4,,,
6,GFS_PHI_1027_2,Tetramesa sp. 1,,,
6,GFS_2020_00015,Tetramesa sp. 4,,,
6,GFS_2020_00086,Tetramesa sp. 4,,,
6,GFS_PHI_1132M,Tetramesa sp. 26,,,
6,KCP_2020_00062,Tetramesa sp. 4,,,
6,KCP_2020_00201,Tetramesa sp. 25,,,
6,KCP_2020_00217,Tetramesa sp. 23,,,
6,KCP_2020_00207,Tetramesa sp. 25,,,
6,LMY_2021_00220,Tetramesa sp. 4,,,
6,GFS_2020_00087,Tetramesa sp. 4,,,
6,GFS_PHI_1132,Tetramesa sp. 26,,,
6,LMY_2021_00117,Tetramesa sp. 4,,,
6,GFS_PHI_1447,Tetramesa sp. 18,,,
6,LMY_2021_00197,Tetramesa sp. 4,,,
6,GFS_PHI_1027_1,Tetramesa sp. 1,,,
6,LMY_2021_00308,Tetramesa sp. 4,,,
6,GFS_PHI_1238M,Tetramesa sp. 11,,,
6,KCP_2020_00199,Tetramesa sp. 25,,,
6,GFS_PHI_1007,Tetramesa sp. 26,,,
6,GFS_PHI_1080F,Tetramesa sp. 26,,,
6,GFS_PHI_1205F,Tetramesa sp. 26,,,
6,GFS_PHI_1232F,Tetramesa sp. 26,,,
6,GFS_PHI_1028F,Tetramesa sp. 26,,,
7,GFS_2020_00043,Tetramesa sp. 1,,,
7,LMY_2022_00008,Tetramesa sp. 1,,,
7,LMY_2022_00108,Tetramesa sp. 1,,,
7,LMY_2022_00098,Tetramesa sp. 1,,,
7,GFS_2020_00053,Tetramesa sp. 1,,,
7,LMY_2022_00152,Tetramesa sp. 1,,,
7,GFS_PHI_1101F,Tetramesa sp. 1,,,
7,LMY_2022_00090,Tetramesa sp. 1,,,
7,GFS_2020_00116,Tetramesa sp. 1,,,
7,SPY_KZN_060,Tetramesa sp. 1,,,
7,SPY_KZN_064,Tetramesa sp. 1,,,
7,SPY_LMP_032,Tetramesa sp. 1,,,
7,GFS_2020_00152,Tetramesa sp. 1,,,
8,KCP_2011_00169,Tetramesa romana,,,
8,KCP_2011_00173,Tetramesa romana,,,
8,KCP_2012_00170,Tetramesa romana,,,
8,KCP_2012_00172,Tetramesa romana,,,
9,GFS_PHI_1101M,Tetramesa sp. 1,,,
10,GFS_PHI_1447M,Tetramesa sp. 18,,,
