GMYC_species,Sample ID,Morphospecies,Latitude,Longitude,Province
1,CVS0002,Tetramesa sp. 1,-27.8909,32.2097,KZN
1,SPY_KZN_060,Tetramesa sp. 1,-27.62214,32.02467,KZN
1,SPY_KZN_064,Tetramesa sp. 1,-29.82913,30.95911,KZN
1,SPY_KZN_68,Tetramesa sp. 1,-29.8291,30.9591,KZN
1,SPY_LMP_032,Tetramesa sp. 1,-24.575998,28.643157,LP
1,GFS_2020_00053,Tetramesa sp. 1,-32.87191,28.08378,EC
1,GFS_2020_00152,Tetramesa sp. 1,-32.87191,28.08378,EC
1,GFS_2020_00116,Tetramesa sp. 1,-32.87191,28.08378,EC
2,LMY_2022_00008,Tetramesa sp. 1,-32.703889,27.483333,EC
2,LMY_2022_00090,Tetramesa sp. 1,-32.703889,27.483333,EC
2,LMY_2022_00152,Tetramesa sp. 1,-32.703889,27.483333,EC
2,LMY_2022_00098,Tetramesa sp. 1,-32.703889,27.483333,EC
2,LMY_2022_00108,Tetramesa sp. 1,-32.703889,27.483333,EC
3,GFS_2019_00019,Tetramesa sp. 4,-33.28173,26.48638,EC
3,GFS_2020_00055,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2019_00079,Tetramesa sp. 4,-33.28173,26.48638,EC
3,GFS_2019_00069,Tetramesa sp. 4,-33.28173,26.48638,EC
3,GFS_2020_00015,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2020_00087,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2020_00614,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2020_00091,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2020_00155,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2019_00035,Tetramesa sp. 4,-33.96861,25.59229,EC
3,LMY_2021_00117,Tetramesa sp. 4,-25.608333,31.1,MP
3,LMY_2021_00308,Tetramesa sp. 4,-25.608333,31.1,MP
3,GFS_2019_00039,Tetramesa sp. 4,-33.28173,26.48638,EC
3,GFS_2020_00130,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2021_00354,Tetramesa sp. 4,-33.280395,26.798823,EC
3,GFS_2019_00041,Tetramesa sp. 4,-33.28173,26.48638,EC
3,GFS_2020_00102,Tetramesa sp. 4,-32.87684,28.09499,EC
3,GFS_2020_00184,Tetramesa sp. 4,-33.96861,25.59229,EC
3,GFS_2020_00233,Tetramesa sp. 4,-32.87684,28.09499,EC
3,GFS_2020_0003,Tetramesa sp. 4,-33.96861,25.59229,EC
3,LMY_2021_00220,Tetramesa sp. 4,-30.346983,24.563239,NC
3,KCP_2020_00177,Tetramesa sp. 23,-28.76888889,27.52666667,FS
3,KCP_2020_00178,Tetramesa sp. 23,-28.76888889,27.52666667,FS
4,GFS_2021_00730,Tetramesa sp. 10,-27.62214,32.02467,KZN
4,GFS_2021_00773,Tetramesa sp. 10,-28.0333332,32.2833322,KZN
4,GFS_2021_00810,Tetramesa sp. 10,-27.62214,32.02467,KZN
4,GFS_2021_00883,Tetramesa sp. 10,-27.62214,32.02467,KZN
4,GFS_2021_00846,Tetramesa sp. 10,-27.62214,32.02467,KZN
4,GFS_2021_00902,Tetramesa sp. 10,-27.62214,32.02467,KZN
4,GFS_PHI_1196F,Tetramesa sp. 10,-28.0333332,32.2833322,KZN
4,GFS_PHI_1238M,Tetramesa sp. 11,-28.0333332,32.2833322,KZN
