GMYC_spec,sample_name,ids,lat,long,province
1,CVS0002,Tetramesa sp. 1,,,
1,SPY_KZN_060,Tetramesa sp. 1,,,
1,SPY_KZN_064,Tetramesa sp. 1,,,
1,SPY_KZN_68,Tetramesa sp. 1,,,
1,SPY_LMP_032,Tetramesa sp. 1,,,
1,GFS_2020_00053,Tetramesa sp. 1,,,
1,GFS_2020_00152,Tetramesa sp. 1,,,
1,GFS_2020_00116,Tetramesa sp. 1,,,
2,LMY_2022_00008,Tetramesa sp. 1,,,
2,LMY_2022_00090,Tetramesa sp. 1,,,
2,LMY_2022_00152,Tetramesa sp. 1,,,
2,LMY_2022_00098,Tetramesa sp. 1,,,
2,LMY_2022_00108,Tetramesa sp. 1,,,
3,GFS_2019_00019,Tetramesa sp. 4,,,
3,GFS_2020_00055,Tetramesa sp. 4,,,
3,GFS_2019_00079,Tetramesa sp. 4,,,
3,GFS_2019_00069,Tetramesa sp. 4,,,
3,GFS_2020_00015,Tetramesa sp. 4,,,
3,GFS_2020_00087,Tetramesa sp. 4,,,
3,GFS_2020_00614,Tetramesa sp. 4,,,
3,GFS_2020_00091,Tetramesa sp. 4,,,
3,GFS_2020_00155,Tetramesa sp. 4,,,
3,GFS_2019_00035,Tetramesa sp. 4,,,
3,LMY_2021_00117,Tetramesa sp. 4,,,
3,LMY_2021_00308,Tetramesa sp. 4,,,
3,GFS_2019_00039,Tetramesa sp. 4,,,
3,GFS_2020_00130,Tetramesa sp. 4,,,
3,GFS_2021_00354,Tetramesa sp. 4,,,
3,GFS_2019_00041,Tetramesa sp. 4,,,
3,GFS_2020_00102,Tetramesa sp. 4,,,
3,GFS_2020_00184,Tetramesa sp. 4,,,
3,GFS_2020_00233,Tetramesa sp. 4,,,
3,GFS_2020_0003,Tetramesa sp. 4,,,
3,LMY_2021_00220,Tetramesa sp. 4,,,
3,KCP_2020_00177,Tetramesa sp. 23,,,
3,KCP_2020_00178,Tetramesa sp. 23,,,
4,GFS_2021_00730,Tetramesa sp. 10,,,
4,GFS_2021_00773,Tetramesa sp. 10,,,
4,GFS_2021_00810,Tetramesa sp. 10,,,
4,GFS_2021_00883,Tetramesa sp. 10,,,
4,GFS_2021_00846,Tetramesa sp. 10,,,
4,GFS_2021_00902,Tetramesa sp. 10,,,
4,GFS_PHI_1196F,Tetramesa sp. 10,,,
4,GFS_PHI_1238M,Tetramesa sp. 11,,,
4,GFS_PHI_1196M,Tetramesa sp. 11,,,
5,KCP_2020_00048,Tetramesa sp. 4,,,
5,KCP_2020_00055,Tetramesa sp. 4,,,
5,KCP_2020_00062,Tetramesa sp. 4,,,
6,KCP_2020_00036,Tetramesa sp. 4,,,
6,KCP_2020_00044,Tetramesa sp. 4,,,
6,KCP_2020_00045,Tetramesa sp. 4,,,
6,KCP_2020_00239,Tetramesa sp. 24,,,
6,KCP_2020_00052,Tetramesa sp. 4,,,
6,LMY_2021_00197,Tetramesa sp. 4,,,
6,KCP_2020_00061,Tetramesa sp. 4,,,
6,KCP_2020_00238,Tetramesa sp. 4,,,
7,KCP_2020_00199,Tetramesa sp. 25,,,
7,KCP_2020_00207,Tetramesa sp. 25,,,
7,KCP_2020_00201,Tetramesa sp. 25,,,
8,GFS_2020_00492,Tetramesa sp. 4,,,
8,GFS_2020_00680,Tetramesa sp. 4,,,
8,GFS_2020_00554,Tetramesa sp. 4,,,
9,GFS_PHI_1007,Tetramesa sp. 26,,,
9,GFS_PHI_1205F,Tetramesa sp. 26,,,
9,GFS_PHI_1447,Tetramesa sp. 18,,,
9,GFS_PHI_1028F,Tetramesa sp. 26,,,
9,GFS_PHI_1080F,Tetramesa sp. 26,,,
9,GFS_PHI_1232F,Tetramesa sp. 26,,,
10,GFS_PHI_1132,Tetramesa sp. 26,,,
10,GFS_PHI_1416F,Tetramesa sp. 26,,,
10,GFS_PHI_1132M,Tetramesa sp. 26,,,
11,KCP_2020_00012,Tetramesa sp. 4,,,
11,KCP_2020_00217,Tetramesa sp. 23,,,
11,KCP_2020_00019,Tetramesa sp. 4,,,
11,KCP_2020_00032,Tetramesa sp. 4,,,
11,KCP_2020_00194,Tetramesa sp. 24,,,
12,GFS_2020_00563,Tetramesa sp. 7,,,
12,GFS_2020_00626,Tetramesa sp. 7,,,
12,GFS_2020_00576,Tetramesa sp. 7,,,
12,GFS_2020_00702,Tetramesa sp. 7,,,
13,Z01A,Tetramesa agaya1,,,
13,Z01B,Tetramesa agaya1,,,
14,GFS_2020_00574,Tetramesa sp. 7,,,
14,GFS_2020_00645,Tetramesa sp. 7,,,
15,KCP_2011_00169,Tetramesa romana,,,
15,KCP_2012_00172,Tetramesa romana,,,
15,KCP_2012_00170,Tetramesa romana,,,
15,KCP_2011_00173,Tetramesa romana,,,
16,GFS_2021_00887,Tetramesa sp. 13,,,
17,KCP_2020_00092,Tetramesa sp. 17,,,
18,KCP_2020_00219,Tetramesa sp. 17,,,
