"filename","percentage_match","percentage_match_excl_singles","percentage_single_sample_GMYC_species","oversplitting_ratio","oversplitting_excl_singles"
"resampled_1.nex",70.59,64.29,17.65,1.21,1
"resampled_2.nex",84,71.43,44,1.79,1
"resampled_3.nex",87.5,75,50,1.71,0.86
"resampled_4.nex",84,75,36,1.79,1.14
"resampled_5.nex",80,69.23,35,1.43,0.93
"resampled_6.nex",86.36,78.57,36.36,1.57,1
"resampled_7.nex",76.47,63.64,35.29,1.21,0.79
"resampled_8.nex",78.95,66.67,36.84,1.36,0.86
"resampled_9.nex",70.59,66.67,11.76,1.21,1.07
"resampled_10.nex",77.78,71.43,22.22,1.29,1
